id,title,url,transcript_path,has_transcript,source,error
wt4p2oalmRY,Is spider silk really stronger than steel?,https://www.youtube.com/watch?v=wt4p2oalmRY,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/wt4p2oalmRY.txt,True,existing,
tL9Lw250spc,Why does every mammal get 1 billion heartbeats in their life?,https://www.youtube.com/watch?v=tL9Lw250spc,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/tL9Lw250spc.txt,True,existing,
GK2pZ_oVU1o,The Scariest Chart in Electrical Engineering,https://www.youtube.com/watch?v=GK2pZ_oVU1o,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/GK2pZ_oVU1o.txt,True,existing,
mvcesPWvUIc,We've Been Using The Wrong Science In Court For 50 years,https://www.youtube.com/watch?v=mvcesPWvUIc,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/mvcesPWvUIc.txt,True,existing,
8HBDE-msUjw,"We're 99.9% sure this pattern is true, but no one can prove it",https://www.youtube.com/watch?v=8HBDE-msUjw,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/8HBDE-msUjw.txt,True,existing,
tz23G_UXCGA,Something is jamming GPS over Europe. Here's what we found,https://www.youtube.com/watch?v=tz23G_UXCGA,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/tz23G_UXCGA.txt,True,existing,
kS-CGkiPetQ,Google Maps is unreasonably fast. Let me explain,https://www.youtube.com/watch?v=kS-CGkiPetQ,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/kS-CGkiPetQ.txt,True,existing,
SVTPv4sI_Jc,The CIA's new tech doesn't make sense,https://www.youtube.com/watch?v=SVTPv4sI_Jc,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/SVTPv4sI_Jc.txt,True,yt-dlp,
ksn5yrsC3Wg,The Crystal That Could Destroy All Medicine,https://www.youtube.com/watch?v=ksn5yrsC3Wg,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/ksn5yrsC3Wg.txt,True,yt-dlp,
PPJ6NJkmDAo,"How easy is it to steal $10,000 from a locked phone?",https://www.youtube.com/watch?v=PPJ6NJkmDAo,/Users/bear/Documents/CoWork/bear-textbooks/books/claude-for-physics/youtube-transcripts/veritasium/transcripts/PPJ6NJkmDAo.txt,True,yt-dlp,
